x,a,b
8.93233,0.903047,0.0969531
8.96241,0.904301,0.0956992
8.99248,0.905546,0.0944541
9.02256,0.906782,0.0932176
9.05263,0.90801,0.0919899
9.08271,0.909229,0.0907707
9.11278,0.91044,0.0895599
9.14286,0.911642,0.0883576
9.17293,0.912836,0.0871636
9.20301,0.914022,0.0859779
9.23308,0.9152,0.0848003
9.26316,0.916369,0.0836308
9.29323,0.917531,0.0824693
9.32331,0.918684,0.0813157
9.35338,0.91983,0.08017
9.38346,0.920968,0.079032
9.41353,0.922098,0.0779017
9.44361,0.923221,0.076779
9.47368,0.924336,0.0756638
9.50376,0.925444,0.0745561
9.53383,0.926544,0.0734557
9.56391,0.927637,0.0723625
9.59398,0.928723,0.0712766
9.62406,0.929802,0.0701977
9.65414,0.930874,0.0691259
9.68421,0.931939,0.068061
9.71429,0.932997,0.0670029
9.74436,0.934048,0.0659516
9.77444,0.935093,0.064907
9.80451,0.936131,0.063869
9.83459,0.937163,0.0628375
9.86466,0.938188,0.0618124
9.89474,0.939206,0.0607937
9.92481,0.940219,0.0597812
9.95489,0.941225,0.0587749
9.98496,0.942225,0.0577746
10.015,0.94322,0.0567804
10.0451,0.944208,0.055792
10.0752,0.94519,0.0548095
10.1053,0.946167,0.0538327
10.1353,0.947138,0.0528616
10.1654,0.948104,0.0518961
10.1955,0.949064,0.050936
10.2256,0.950019,0.0499813
10.2556,0.950968,0.0490319
10.2857,0.951912,0.0480877
10.3158,0.952851,0.0471487
10.3459,0.953785,0.0462147
10.3759,0.954714,0.0452857
10.406,0.955639,0.0443615
10.4361,0.956558,0.0434421
10.4662,0.957473,0.0425273
10.4962,0.958383,0.0416172
10.5263,0.959288,0.0407116
10.5564,0.96019,0.0398104
10.5865,0.961086,0.0389136
10.6165,0.961979,0.038021
10.6466,0.962867,0.0371326
10.6767,0.963752,0.0362482
10.7068,0.964632,0.0353678
10.7368,0.965509,0.0344913
10.7669,0.966381,0.0336186
10.797,0.96725,0.0327496
10.8271,0.968116,0.0318842
10.8571,0.968978,0.0310224
10.8872,0.969836,0.030164
10.9173,0.970691,0.029309
10.9474,0.971543,0.0284572
10.9774,0.972391,0.0276086
11.0075,0.973237,0.0267631
11.0376,0.974079,0.0259206
11.0677,0.974919,0.025081
11.0977,0.975756,0.0242442
11.1278,0.97659,0.0234101
11.1579,0.977421,0.0225787
11.188,0.97825,0.0217498
11.218,0.979077,0.0209233
11.2481,0.979901,0.0200993
11.2782,0.980723,0.0192774
11.3083,0.981542,0.0184578
11.3383,0.98236,0.0176403
11.3684,0.983175,0.0168248
11.3985,0.983989,0.0160111
11.4286,0.984801,0.0151993
11.4586,0.985611,0.0143893
11.4887,0.986419,0.0135808
11.5188,0.987226,0.0127739
11.5489,0.988031,0.0119685
11.5789,0.988836,0.0111645
11.609,0.989638,0.0103617
11.6391,0.99044,0.00956006
11.6692,0.99124,0.00875955
11.6992,0.99204,0.00796004
11.7293,0.992839,0.00716144
11.7594,0.993636,0.00636366
11.7895,0.994433,0.0055666
11.8195,0.99523,0.00477019
11.8496,0.996026,0.00397432
11.8797,0.996821,0.00317891
11.9098,0.997616,0.00238387
11.9398,0.998411,0.00158909
11.9699,0.999205,0.0007945
12,1,8.32667e-17
